"","CNTRYID","CNTSCHID","age","sex","ESCS","SES","MATH","growth"
"1",360,36000195,16,0,0.0585,1.44742006009499,466.4017,1
"2",360,36000038,16,1,-2.2463,-0.765447818999773,306.7464,0
"3",360,36000340,16,0,-2.1281,-0.651962491288474,496.6418,1
"4",360,36000184,16,1,-1.4426,0.00619480267172198,298.4413,0
"5",360,36000341,16,1,-0.4207,0.98733402761399,349.7686,0
"6",360,36000263,16,0,-1.4396,0.00907514093850632,463.1726,1
"7",360,36000331,16,0,-1.5749,-0.120828114893462,441.9811,1
"8",360,36000124,16,1,-2.2276,-0.747493710470151,322.5924,0
"9",360,36000313,16,1,-3.516,-1.98450298477842,327.4243,1
"10",360,36000020,16,0,-1.3601,0.0854041050082883,380.4083,0
"11",360,36000331,16,1,-0.9314,0.497004443331755,332.4031,0
"12",360,36000313,16,1,-1.468,-0.0181920613203844,345.8814,1
"13",360,36000095,16,1,-1.9854,-0.514954401065104,378.5587,0
"14",360,36000341,16,1,0.6824,2.04643440831055,324.7901,1
"15",360,36000150,16,0,0.308,1.68696819261588,395.7736,0
"16",360,36000006,16,1,-1.5339,-0.081463491914078,342.3494,0
"17",360,36000314,16,0,0.4414,1.81504723421222,409.5561,0
"18",360,36000382,16,0,-1.188,0.250639510246144,284.2069,0
"19",360,36000065,4,0,-1.4055,0.0418149859042871,413.7663,0
"20",360,36000167,16,1,0.1247,1.51097952451536,399.5858,1
"21",360,36000294,16,0,-2.9906,-1.48005974298894,362.1515,0
"22",360,36000331,16,0,-2.4471,-0.958238460323197,355.706,0
"23",360,36000124,16,0,-1.9624,-0.492871807686425,384.3466,0
"24",360,36000314,16,0,-1.6765,-0.218375570861888,404.151,0
"25",360,36000043,16,1,-1.9832,-0.512842153002796,301.3704,0
"26",360,36000065,16,0,-0.659,0.758539157955763,313.1915,1
"27",360,36000179,16,0,-2.379,-0.892854781667195,365.1752,0
"28",360,36000344,16,1,-2.0787,-0.604532921162094,349.8234,0
"29",360,36000382,16,1,-1.4619,-0.0123353735112564,364.0114,1
"30",360,36000264,16,0,-2.019,-0.547214189653088,327.6889,0
"31",360,36000313,16,0,-2.1946,-0.715809989535524,473.396,1
"32",360,36000150,16,1,-4.6315,-3.05550876364435,367.1026,1
"33",360,36000150,16,1,-1.6078,-0.152415824552529,389.0689,1
"34",360,36000314,16,0,-2.1593,-0.68191800926303,391.2999,0
"35",360,36000063,16,1,-0.1277,1.26864706500325,296.6511,0
"36",360,36000179,16,1,-2.071,-0.597140052944015,388.2232,0
